aspect,avg_valence,avg_arousal
fossil fuel industries,4.67,6.33
carbon capture and sequestratio,4.83,6.17
clean energy,7.5625,7.479249999999999
Environmental Protection Agency,6.054878048780488,5.5131707317073175
climate change,3.080864197530864,6.703209876543209
infectious diseases,3.0,6.5
Capitalism,7.83,7.67
nuclear energy,6.786612903225806,6.929354838709678
Climate change,3.568,6.45
humanity,6.0,5.17
Solar Park,6.5,7.0
clean energy business,7.0,7.5
carbon emissions,3.0400000000000005,5.54
renewable energy power plants,3.0,5.5
clean energy ,7.835,7.665
Office of Science,7.0,7.17
Germany,5.25,4.23
coal plants and nuclear reactors,5.67,4.17
Great Britain,5.0,3.0
Director General of the Environmental Protection Agency,5.0,3.5
seaweed fertilizers,4.75,2.62
Iran's Nuclear Energy scientists are women,6.1,5.2
coal power,2.5,7.0649999999999995
TRBOT,5.5,3.0
Nuclear power,8.0,7.83
fossil energy,2.96,5.29
Mass.,6.62,6.25
ELM's Director of Clean Energy Policy,6.38,5.75
Raising awareness,6.2,5.3
Trump-era,3.25,5.75
pollution controls,7.0,7.0
House of Representatives,6.38,4.87
less oil,3.0,5.75
US,5.0,2.75
Clean Water Act,6.166666666666667,6.295000000000001
Mountain Valley Pipeline,1.78,7.776666666666666
weedkiller,1.62,8.12
illness,1.38,8.0
campfires,2.5,6.0
carbon management,8.17,8.0
greenhouse gas emissions,2.21,7.71
recycling aluminum,7.0,7.0
primary aluminum,3.0,6.25
clean energy sources,7.25,7.25
doomerism,6.75,6.75
optimism,2.5,7.0
tuna song,7.17,7.0
environmental awareness,7.2996428571428575,7.245
promotional projects,7.33,7.17
President Barack Obama,7.5,7.25
Clean Power Act,7.75,7.75
U.S. Environmental Protection Agency,6.166666666666667,5.771111111111111
California,4.5,3.0
Clean Air Act,7.0,6.25
clean energy economy,7.390000000000001,7.276666666666666
DonaldPayneJr,7.33,7.17
household energy costs,7.5,7.17
POTUS,7.4433333333333325,7.390000000000001
Clean Energy,7.83,7.42
Americas Partnership for Economic Prosperity,6.75,6.5
clean energy jobs,7.25,6.75
POTUS s infrastructure plan,7.75,7.25
electric vehicles,6.686984126984127,6.559047619047619
The Republican,3.25,6.5
SB19Official,7.17,7.17
social awareness,7.67,7.5
"Filipino music, culture and arts",7.67,7.67
ParaMadeleine,6.5,5.88
social solidarity,7.62,7.38
Istanbul Digital Media,7.75,7.5
theSNP,7.17,7.0
green energy,5.02,6.470000000000001
Tory Govt,2.33,7.0
Wind excluding storage cost,5.0,3.67
tax hikes,1.83,7.67
AI,6.165,6.54
electricity,5.78,6.109999999999999
poor financial state of companies,3.0,5.88
Northern Hemisphere,4.75,2.88
Environmental Awareness And Sustainability,7.25,6.75
tecnomobilegh CAMON19 Series ,6.75,6.0
nuclear power,5.83,5.5
gas plants,3.335,5.29
Strawberries,4.25,4.5
Cameron Highlands,5.12,3.5
socialists,3.67,5.33
renewable energy subsidiary,7.5,7.25
pandemic,3.125,5.6899999999999995
ENERGY STAR products,8.25,7.88
greener lifestyle,7.88,7.5
Compost Bin,7.75,7.38
Dutch farmer,6.25,5.25
Fossil fuels,6.5,6.25
global population,6.0,5.0
shark fin trade,3.62,6.25
bill,7.5,7.25
coal plants,2.941818181818182,6.390000000000001
Tesla,6.6,5.942500000000001
 Bitcoin,6.5,5.5
natural gas,5.859999999999999,5.1499999999999995
coal emissions,2.5,6.75
coal energy plants,2.565,7.0600000000000005
Musk s Master Plan,6.83,5.83
Part Deux,6.17,5.17
Environmental Protection Agency ,5.25,3.12
Transportation Department,5.38,3.25
environmental issues,5.4475,6.4125
Electric vehicles,7.366,7.231999999999999
power plants,3.17,6.0
oil and natural gas,2.83,6.5
Climate Change.,3.0,5.12
Naada Jinapor,6.88,6.62
tree seedlings,6.62,6.0
Europe,5.25,3.0
Pioneer Natural Resources Company,5.0,2.38
Bluewater Strategies,5.12,2.62
The Cuyahoga River,5.25,2.75
French nuclear energy ,5.17,2.67
US Department of Energy,5.33,2.67
Taishan plant,4.5,2.67
BTC,6.62,6.25
electric car,5.5600000000000005,6.625
immigrants,2.0,7.25
Republicans,3.5625,6.6225000000000005
mass shootings,1.75,7.38
GOP,1.88,7.62
Nuclear Energy FY2022 Budget Request,6.17,5.0
commercial deployment of advanced reactors,6.5,5.83
DOE's FY22 Budget Request,6.0,4.83
Mr Bowbrick,6.5,5.75
British Gov't,6.88,6.38
UK,6.5,6.0
Spain,6.5,6.0
podcasts,7.0,6.75
sustainable mind,7.0,6.88
Nuclear energy,6.69,6.981
Nuclear power plant,7.5,7.2
sales tax,3.5,4.25
Electric Vehicles,7.017777777777777,6.6755555555555555
Nissan,7.225,6.675
Power plants,6.25,5.75
due to shortage of Coal,1.5,8.0
BJP,3.25,5.75
Arizonans,5.12,2.5
clean energy transitions,6.12,4.5
Lauren Kuby,5.25,3.25
worldwide Public awareness,7.17,6.17
Bulgarian miners,6.25,5.25
Greenpeace,4.0,4.88
HorizonEU project Agroecology-TRANSECT,6.0,4.12
systemic economic,5.38,3.12
North Dakota coal plant,3.0,6.0
Minnesota shareholders,7.0,6.5
Proposed New Rule,2.38,6.62
The Environmental Protection Agency,4.96,6.54
clean energy transition,7.395,7.21
Extreme weather,2.5,6.67
 coal-fired power plant,2.83,6.83
GovPritzker ,4.62,3.12
Prairie State Energy Campus,5.88,4.5
chlorpyrifos,2.5,4.5
federal appeals court,5.83,5.67
Nuclear Energy,7.708333333333333,7.73
nuclear reactor,7.33,7.5
India,6.6875,6.5425
MikeLevin,7.5,7.5
LCVAF,7.5,7.5
Vogrie Outdoor ELC,7.5,7.25
Litter picking,7.5,7.25
SCOTUS,5.0,3.25
liberal guy,4.75,4.0
democrats,3.25,5.75
Clean energy,7.5,7.25
carbon tax,2.75,7.0
carbon-free energy,7.165,7.125
atomic power,7.0,6.83
environmental initiative,8.12,7.62
facility in CityOfFerndale,6.67,6.83
zero-emission public transportation,7.0,7.17
pollution in Franklin,2.67,6.33
child cancer,2.5,6.17
drug to treat Alzheimer s disease,7.67,7.5
nuclear-powered ship,7.0,7.0
state of oceans,7.0,7.0
 PurdueAg professors,6.08,4.83
Scientific Advisory Board,6.08,5.0
British Columbians,6.67,5.67
right-wing trash troll,2.25,6.88
fuel prices,3.75,5.0
statue,7.33,7.0
artist,7.5,7.17
sea level rise,2.0,7.33
coal miner,7.12,6.5
 coal plants,2.44,6.725
air pollution,2.585,6.275
surrounding communities,4.88,3.12
multi-generational home,5.33,4.17
gas car,5.25,3.25
Wind Turbine ,7.12,6.62
energy generator,7.12,6.62
nuclear,7.79,7.29
Ontario,5.0,2.0
Fargo flood project,7.0,6.5
Cuyahoga River OH,2.83,6.67
medical biotech nuclear energy,5.17,2.17
uranium self defense,5.17,2.17
Woodside's reserves of LNG,2.33,6.17
The AGL coal-fired plants,2.67,6.33
global economy,5.67,4.83
transition,3.33,5.83
Albanese government,5.67,5.83
Illinois Environmental Protection Agency,6.25,4.88
impact to air,4.38,4.75
Puerto Rico,6.17,7.0
Alexandria ocasio-cortez,2.17,7.33
democrat socialist,2.0,7.67
China,3.918,6.516
Puerto Rico's Energy,4.75,7.12
Coal-Fired Plant,3.75,7.38
military intervention,7.0,7.0
coal plant,3.034,6.362
Seattle heat wave,2.5,6.83
carbon pollution,1.67,7.67
Africa Environment Day,7.62,7.25
environmental challenges,2.0,7.5
Modi Government,7.12,6.88
U.S. federal government,4.88,2.38
old coal power plants,2.17,7.5
Illinois,4.83,3.83
The California Blackout,2.88,7.25
clean water,8.38,8.38
modern water resources,8.12,8.12
ICE vehicles,2.83,7.33
Allocated Tax Credits for Nuclear and Clean Energy Plan,7.5,7.5
 coal plant ,2.12,7.5
Little Village residents ,7.0,6.62
Gas Prices,2.17,7.33
 Light and Heavy water reactors,5.67,5.0
California Environmental Protection Agency,5.5,5.5
CNRA,4.75,3.75
America,6.75,6.335
Zippy Duvall,5.0,2.17
Navigable Waters Protection Rule,5.33,5.0
Agriculture,4.125,4.665
the British government,4.62,2.75
Andrew Walusimbi,7.25,6.88
Animal agriculture,1.83,7.83
govegan,5.83,7.83
Mr. Heat Pump series,7.25,7.0
Sally Benson,6.38,5.88
WhiteHouse,6.25,5.62
environmental protection,7.375,7.262499999999999
governor,1.83,8.0
electric vehicle,6.835,5.75
combustion engine scientists,3.5,4.17
scientists advising the EU Commission,4.0,4.0
Vasco,7.5,8.0
refugee families,6.25,6.25
Congolese refugee,7.75,8.25
building charging networks,7.17,7.17
Arizona,4.0,4.0
sun's rays,7.83,8.0
Clyde docks,5.0,3.5
ClothingHugh 916 stevo,8.0,8.25
Sydney climate change event,2.25,7.0
Texas gasoline prices,2.25,6.25
EV charging stations,7.0,7.0
bisexual,6.33,7.0
planet,7.875,7.75
bylaw officers,7.0,6.25
Hybrid Electric Vehicles,7.0,7.5
black oil traders ,2.5,7.0
clean energy future,7.666666666666667,7.609999999999999
ClimateEmergency,2.75,6.75
photography,6.835,7.085
Greenpeace International,7.25,7.25
EV renaissance,7.75,7.75
hybrid electric plug-in,4.75,7.5
Ohio,2.5,7.25
White House,6.775,6.085
School campaign,5.7,4.7
planed to shut down,6.3,5.4
Sea of Islands,6.75,6.75
price,4.38,3.12
robotaxis,6.3,5.3
self-driving vehicle,4.5,4.6
DERA SACHA SAUDA,4.88,2.62
SaintGurmeetRamRahimSinghJiInsan,4.75,2.5
BSEE,6.5,6.0
federal agency,6.5,5.33
Bearded Greta Bandt,3.0,5.5
government,3.973333333333333,5.723333333333334
real knowledge,7.0,6.5
regressive taxation,3.0,5.5
Bernie,6.25,6.25
EPA's Safer Choice Program,6.88,6.75
Biden,3.5833333333333335,6.016666666666667
bipartisan package,5.0,6.25
energy and electric vehicles,6.75,6.75
Defense Production Act,7.0,6.75
clean energy technologies,7.0,7.0
Bihar CM Nitish Kumar,6.67,6.83
environmental conservation,7.17,7.33
Vriksh Raksha Diwas,6.83,7.0
Bill Gates,5.125,3.75
Climate Change,3.35,5.7
German politician,5.62,4.75
Polish MP,5.75,4.88
oil,1.83,8.0
solar panels,8.33,8.17
governments worldwide,2.33,7.33
econ. coop.,4.62,2.75
carbon dioxide,2.62,6.25
coal,3.0,6.813333333333333
GoI,6.0,5.33
electric-vehicles,6.0,5.33
PM Modi,7.54,7.5
Kathy McCarthy,7.88,7.62
CPS coal plant,1.88,7.38
carbon neutrality,8.0,7.75
COVID-19,2.38,6.75
Ukraine war,2.5,6.88
Sustainable Development Goal 7,7.25,6.5
CSOs in Tanzania,7.0,7.0
energy transition,7.166666666666667,6.946666666666666
gun control,3.5,6.5
ClimateChange,3.35,5.973333333333334
Zach Weinersmith,4.5,4.5
labor shortage crisis,3.5,7.0
border crisis,3.0,6.5
Gwynedd County Council,5.0,3.75
sustainable energy,6.25,5.75
lefties,2.12,7.0
global crises,1.75,7.5
U.N. climate chief,5.5,4.75
IES,5.62,3.38
G7,7.0,7.0
coal finance,2.83,5.67
Elon Musk,5.67,4.75
Biological Diversity,5.17,1.83
US Environmental Protection Agency's,5.0,1.67
Central Bank of Kenya Pension Towers,6.83,6.67
Kenyan Architects,6.83,6.83
GM mtbarra,6.83,6.17
environmental justice movement,6.3,4.9
ELECTRIC VEHICLES,5.706666666666667,7.583333333333333
Democrat,1.75,7.25
Sewer Overflows,4.17,4.0
Cloud-Based FOG,5.5,4.17
hydropower plants,5.83,6.0
China's deserts,6.67,6.33
McCarthy Hills cement plant,3.25,4.38
Ghana s Environmental Protection Agency,6.12,5.12
Chris Kenny,1.83,7.0
Clean Air Alliance,4.33,5.5
High School narrates,6.83,6.67
Clear nuclear energy,7.75,7.5
fossils,2.5,6.75
economic lives,6.0,4.75
The advanced nuclear plant,7.0,6.75
Coal Power plants,2.17,7.0
Joe Manchin,2.5,6.5
Coal combustion,2.5,6.75
Coal shortages,4.83,3.0
thermal power plant units,4.67,3.0
America s safest energy source,7.5,7.67
civilization,5.5,4.0
ERCOT,6.0,4.88
Renewable Wind Energy,2.83,6.0
U.K Emergency,3.67,4.0
 investments,7.67,7.5
 communities,7.67,7.67
 workforce,7.5,7.5
tsunami,2.62,6.12
Conecta Parques,7.12,6.88
ecotourism,7.0,6.88
jobs,8.0,7.75
justice in Congress,7.62,7.25
Kit Carson Electric s latest clean energy project,6.38,7.0
wheelchair,6.25,4.88
Clean Car Discount,8.0,7.62
climate-friendly vehicles ,8.0,7.62
Indiana Department of Transportation,7.17,7.33
Crypto,3.5,5.5
NFT project,8.5,7.0
UN,6.165,6.25
plastic pollution awareness campaign,8.0,7.83
environmental pollution,1.5,8.0
Coal Creek,2.0,7.0
Green River Energy,3.12,5.88
Danish Environmental and Food Appeals Board,5.12,3.5
Baltic Pipe,4.62,3.38
David Littleproud,2.0,7.5
gas-led recovery,3.0,6.0
clean energy legislation,7.46,7.225
clean energy plants,7.67,7.33
Environmental Awareness,7.67,7.83
Earth,7.67,7.83
Animals,7.33,7.5
Australian Climate Case,7.0,7.33
Ameresco,7.5,8.0
carbon neutral,6.666666666666667,6.5566666666666675
Baltic Pipe gas pipeline,4.5,3.38
Russia's Nord Stream-2,4.38,3.5
terrible environmental,1.88,7.62
Washington,7.5,7.83
walk and plantation,7.38,7.38
weapons programme,3.88,4.0
civil nuclear power,5.38,4.0
Doctor Strange,7.62,7.62
Solar Satellite,7.62,7.38
Dogs,7.38,7.0
summer,7.25,6.75
THE UNIQUE GROUP,7.25,7.75
extreme heat,2.5,6.5
California ISO,5.75,2.5
Charge devices,7.75,7.75
Stage 1 Water Alert,4.62,2.75
Drought Management Plan,5.62,3.62
Dutton,7.83,8.17
PLEVs ,4.88,3.75
E-scooters,4.25,4.75
Ultra-Low Emission Vehicles ULEVs,7.5,7.38
RAF Brize Norton,7.25,6.75
EPA,6.158333333333334,6.1866666666666665
Limits on Water Pollution,6.3,5.1
forever chemicals,2.88,4.88
Coal Plants,7.75,7.38
Black Coal,7.75,7.62
do-it-yourself puzzles,8.0,8.0
spatial awareness,7.88,7.75
petrol tank for emergencies,6.67,6.33
Electric mobility,7.33,7.5
EV Policy 2021,7.17,7.5
price of electricity,3.83,4.17
France,7.67,7.33
Nuclear Energy Assembly,6.83,7.0
Carbon free nuclear power,7.5,7.67
Enel,3.5,5.5
fossil fuel,3.835,5.835
ClientEarth,6.5,7.0
Enviro NGO,5.5,6.25
Environmental,6.0,6.5
fuel,4.585,6.25
Tesla Full series,7.62,7.12
Eskom,5.12,2.5
Evaggelos Vallianatos,7.0,7.5
US Environmental Protection Agency,6.625,6.625
Mckay Jenkings,7.0,7.5
atmosphere,7.17,6.33
ForestClimateWG,7.5,7.33
 power plant ,4.75,3.38
burning coal,3.62,3.5
World Environmental Health Day,7.5,7.5
health,7.5,7.75
integrity,7.25,7.25
media,4.0,5.92
NUCLEAR ENERGY,7.333333333333333,7.183333333333333
antinuclear lobby,1.33,8.5
essential energy technology,8.33,8.33
ExxonMobil Guyana,5.67,5.17
Next-Gen Nuclear Plant,7.17,7.33
TerraPower,7.67,7.83
cognitive enhancer,8.38,8.62
awareness of environmental issues,6.75,6.25
Ocean and Environment advocate Johnathan Smith,7.5,8.0
Uto Ni Yalo,7.5,7.5
 Helen,4.75,2.75
coal-fired power plant,3.164,5.768000000000001
carbon tax costs,4.75,6.5
public awareness of environmental issues,7.5,7.75
Friends of the Earth,7.5,7.5
Green Guide,7.62,7.88
Gina McCarthy,5.125,6.25
Secretary Granholm,7.25,6.25
Bipartisan Infrastructure Framework s historic investments,7.75,7.25
activism,8.17,8.0
The Defender Project,7.83,7.67
FREE self-defense course,8.5,8.67
 LNP govt,1.5,8.12
Morrison,2.0,7.79
K-Green Foundation,8.5,8.5
cheeseburger,4.83,3.83
 earth minerals,2.25,7.75
AOC,2.25,7.25
America s pastime,6.88,6.5
Dr. Jessica Murfree,7.88,8.12
Risk Threat Analysis Assessment,4.12,7.12
Level of Threat potential risks,3.25,6.25
good jobs,8.0,7.75
democracy,8.25,7.5
Berkeley NIMBYs,2.5,6.5
Dr. Charlie Koven,6.5,7.0
Denser housing,7.0,7.5
Ford,6.875,6.665
Mach-E,6.5,5.83
ministers,2.0,6.5
U.S. oil production,7.0,6.75
oil prices,4.5,4.88
Formula E,7.67,7.67
consumer electric vehicles,7.67,7.67
walnuts,7.67,7.33
PAHAAD ORGANICS,8.0,7.83
organic agriculture,7.83,7.83
MercedesBenz,5.67,4.0
internal combustion engines,6.83,6.5
Springfield,3.83,3.0
Statehouse,4.83,3.5
Oregon,8.0,8.0
renewable electricity,7.585,7.75
New York clean energy goals,7.62,7.38
nuclear industry,7.12,6.62
EDFofficiel,7.38,7.25
European energy technology,7.0,6.5
Prince Harry,2.17,5.83
equality,6.67,6.17
fossil fuels,2.395,6.75
gas coal plants,1.83,7.33
GERD,7.25,6.75
sedimentation,3.0,6.0
RUSSIA,7.75,7.75
U.S. battery factories,7.12,6.88
new technology,7.38,7.0
GREFIN,7.5,7.5
sustainability-based economy,7.17,7.0
environmental awarenes,7.67,7.67
German Power Prices,3.5,4.5
RWE,4.12,5.5
 Dutch govt,5.67,6.17
German,6.67,6.5
German court,6.67,6.5
Datteln 4 plant,3.33,4.5
fireworks,7.5,7.5
tailwinds,7.17,7.33
hottest fashion and music show,7.5,7.38
Hyphen and Kell Kay,7.38,7.25
sustainable environmental practices,7.5,7.4350000000000005
"""right-wing"" art",4.17,4.0
GiGLogistics,7.38,7.12
Modi govt,2.0,7.33
wind power,6.0,7.0
Power plant,6.17,4.83
pollution,2.5,6.225
Ferguson Lake,5.0,4.17
child slave labor,2.25,5.5
RE materials,3.0,5.25
Canada-U.S. electricity relationship,7.75,7.62
climate and energy security goals,7.5,7.38
Newfoundland,7.375,7.335
Labrador,7.375,7.25
Glasgow fleet,5.83,6.5
UK's largest electric vehicle charging hub,6.83,6.33
SMRs,7.12,6.88
Stellantis,7.67,7.5
Jeep Wrangler,8.0,7.83
AWS Clean Energy Accelerator 2.0,7.17,7.33
low-carbon energy transition,7.33,7.5
Greece,6.5,6.5
pandemic recovery,7.0,6.83
coal power plant,2.5,6.75
Green transition,7.5,7.25
Greenies,3.0,5.75
climate change clean energy,3.25,5.75
Greenish,6.875,6.875
solutions through education,7.0,7.5
education,7.75,7.25
Economic growth,5.38,6.75
natural environment,7.25,7.0
human health,7.25,6.88
subsidies,7.38,7.5
HB1362,7.17,7.0
GovofCO,7.5,7.33
AMAZON,7.33,7.33
cans of Nuclear Energy,7.83,7.83
Dr. Kathryn Huff,6.0,5.5
lasbela Imran Saeed,6.7,5.5
Dr Faiyaz Alam,6.6,5.6
Anjum Raffatullah,6.7,5.5
national security,7.12,7.0
GHG emissions,3.0,6.0
environment,7.375,7.026666666666666
sustainable development,7.355,7.025
Harry S Truman,6.12,5.25
Victorian nuclear prohibition ,3.0,5.67
gas and diesel cars,3.5,5.12
Heat wave season,5.0,3.0
U.S. cities,5.0,3.0
plastic pollution,2.83,5.33
Helsinki,6.25,6.0
graduate work,6.3,5.3
Graduate Research Fellowship,6.5,5.6
 India s new dams,5.8,4.8
smoke nuisance,3.75,3.62
Environmental Protection department,6.0,4.88
canadianenergycentre,7.0,7.0
Canada's oil and gas industry,7.62,7.5
Natural Resources Conservation Academy,7.83,7.5
environmental sustainability,7.67,7.165
Hollie Hughes,2.06,6.835
LNP,3.83,7.08
climate action,7.525,7.46
woke agenda,2.75,5.62
nuclear plants,4.3325,5.75
winter storm,3.5,4.12
nuclear-produced hydrogen,7.67,7.67
IAEA,7.75,7.62
low-carbon sources,7.62,7.62
unmitigated climate change,3.0,7.5
megadrought zone,3.0,6.5
NOAA usbr,5.0,2.5
Coal Powered Plants,2.75,6.0
Innovative tech,7.38,7.12
community models,7.38,7.12
Grupa PGE,7.25,7.12
lignite mine,5.12,7.12
Belchatow power plant,2.38,6.25
coal- and gas-fired power plants,2.17,7.33
Ukraine,5.916666666666667,5.483333333333334
Immediate Goals,7.75,8.0
Fossil Fuel Investments And Subsidies,2.0,7.75
All New Coal Power Plants,2.25,7.5
abandoning nuclear energy,2.0,8.0
Generations in Central and Eastern Europe,8.0,8.0
geopolitical failure,2.0,8.0
New York League of Conservation,7.67,7.67
existential threat,1.17,8.33
Manhattan,7.0,6.67
coal energy,3.0,5.12
the Queen,3.5,4.88
Prince William,3.25,4.62
Prince Charles,3.38,4.88
party currently in power,2.0,7.5
high gas prices,2.0,7.5
Labor,5.5,7.2
Legislators,2.5,6.83
gas and oil industries,2.17,7.17
 Environmental Protection Agency,5.25,3.5
campus,5.0,3.62
private sector representatives,6.62,6.0
supply chain resiliency,7.38,7.25
clean energy and decarbonization,7.25,7.25
DoctorsXr,6.75,6.25
malnutrition,2.5,6.75
Irish Environmental Protection Agency website,4.12,3.62
CO2,4.0,3.5
BBC,3.0,5.17
U.S. Climate Alliance,7.5,7.38
Congress,2.44,6.8100000000000005
US Clean Air Act,6.67,6.17
Richard Nixon,6.33,5.83
coal power output,4.88,6.0
NATO,7.33,7.33
cyber,7.17,7.33
allergies,2.83,6.33
Environmental Protection Agency certification,6.4,5.3
class,6.0,5.2
solve climate,5.5,6.83
ENVIRONMENTAL PROTECTION AGENCY,4.395,6.165
Patagonia,4.67,4.17
Tim Traveller,7.67,7.67
nuclear power plants,5.3999999999999995,6.516666666666667
USA,6.62,6.12
Putin,3.5,4.83
economic growth,6.625,6.96
gas prices,2.67,6.67
Obama EPA actions,2.67,6.33
coal-fired power plants,2.8333333333333335,6.776666666666666
nitepunk show,7.12,6.75
Labour MPs,7.75,7.62
unitetheunion members,7.62,7.62
Canada,7.12,7.0
JulieAnneGenter,8.0,8.0
climate-friendly vehicles,8.25,8.12
corporate pollution,2.17,7.17
country,5.88,6.25
Body autonomy,7.75,7.62
weapons,2.33,5.5
BAU,6.88,6.5
fiscal risks,6.75,6.88
RepPeterDeFazio,6.5,6.33
WorldNuclear,6.75,6.88
IQSTEL,6.5,6.33
EVoss Electric Vehicles,6.5,6.33
vip,5.83,5.33
Ian Plimer,4.5,7.5
climate science,2.12,7.12
NYC,6.38,5.75
air conditioners,6.75,5.88
coal fired power plants,3.925,6.45
Katie,7.83,7.83
climate change ,2.5,6.0
war,3.0,6.0
floods,3.0,6.17
renewables,3.25,4.75
population,2.75,7.0
gop,2.38,6.5
petrol cars,3.0,6.0
elonmusk,4.75,4.0
 chemical levels ,3.0,7.0
petroleum sector,2.5,7.5
clean energy infrastructure,7.17,6.83
Domestic Manufacturing of Clean Energy,7.17,6.67
electric cars,3.375,5.625
Tamale Library,7.25,7.25
children books,7.25,7.25
President Biden,5.12,3.0
Brazil,6.38,4.38
EPA scholars,7.5,7.33
germany,5.0,6.04
ticks,2.4,7.5
EPA -registered insect repellent,7.9,7.7
temperature,2.0,8.0
World War-3,1.17,8.83
sustainable development and clean energy,8.0,8.0
environment-friendly policies,8.0,8.0
nature,7.625,7.25
Institute of Electrochemistry Energy Systems,8.0,8.0
Disabled people,8.0,7.83
geopolitics,6.38,5.62
Europe's nuclear energy industry,5.88,5.38
China's nuclear energy exports,5.62,4.88
urban biodiversity,8.33,7.83
urban pollinator species,8.33,7.67
sabotage,1.0,9.0
yoni ben menachem yonibmen,5.0,1.0
subsidy for electric vehicles,8.0,7.5
subsidy for electric bicycles,8.0,7.5
GST rate,2.0,8.0
Island nations,8.0,8.0
clean energy innovation,7.5,7.5
funds,8.0,7.67
clean energy innovations,8.12,8.25
training on environmental issues,8.0,7.5
empowerment of women,8.0,7.5
Middlesbrough,7.83,7.67
partisan issue,1.0,8.5
AR-15,1.5,8.0
cleaner future,8.17,8.17
World Oceans Day,8.67,8.17
